condition,seed,file,idx,sample_id,gold,word_boundary_contains,first_answer_span_match,prediction_excerpt,audit_label,audit_notes
additive,123,h1_additive_fwd_seed123.json,0,mh_clean_000000,Asia,True,False,"The United States, Canada and Mexico are all part of this region called ""Asia"". This area includes China (which has a population over 1 billion), India, Indonesia, Malaysia, Myanmar, Pakistan, Thailand, Vietnam, Cambo...",accidental_mention,gold appears later as a word-boundary mention
additive,123,h1_additive_fwd_seed123.json,6,mh_clean_000006,Europe,True,False,"The United States of America, Canada and Australia are all on one side (the east). France also belongs to this group but it's not a part of our world at present because we have no borders with any other nation or regi...",accidental_mention,gold appears later as a word-boundary mention
additive,123,h1_additive_fwd_seed123.json,15,mh_clean_000015,Africa,False,False,"The African Continent, the Middle East and North America are her birthplaces. She has lived all over Europe since childhood but she spent most of her life living on a small island off the coasts of Morocco (now Algeri...",substring_noise,legacy hit is not a word-boundary match
additive,123,h1_additive_fwd_seed123.json,26,mh_clean_000026,Japan,False,False,"I don't know, but it's not a big deal for me because we're all from different countries and have similar backgrounds (I'm Japanese). We've been living in America since 2001 so that was kind of an easy transition...",substring_noise,legacy hit is not a word-boundary match
additive,123,h1_additive_fwd_seed123.json,31,mh_clean_000031,Pakistan,True,False,"She came to the United States when she was five years old and lived there for two months before moving back home with her parents, who were from India (Pakistan). Her father worked as an engineer at General Electric C...",accidental_mention,gold appears later as a word-boundary mention
additive,42,h1_additive_fwd_seed42.json,0,mh_clean_000000,Asia,True,False,"The United States, Canada and Mexico are all part of this region called ""Asia"". This area includes China (the largest nation), India, Indonesia, Malaysia, Myanmar, Pakistan, Thailand, Vietnam, Laos, Cambodia, Banglade...",accidental_mention,gold appears later as a word-boundary mention
additive,42,h1_additive_fwd_seed42.json,15,mh_clean_000015,Africa,False,False,"The African Continent, the Middle East and North America are her birthplaces. She has lived all over Europe since childhood but she spent most of her life living on a small island off the coasts of Morocco (now Algeri...",substring_noise,legacy hit is not a word-boundary match
additive,42,h1_additive_fwd_seed42.json,26,mh_clean_000026,Japan,False,False,"I don't know, but it's not a big deal for me because we're all from different countries and have similar backgrounds (I'm Japanese). We've been living in America since 2001 so that was kind of an easy transition...",substring_noise,legacy hit is not a word-boundary match
additive,42,h1_additive_fwd_seed42.json,31,mh_clean_000031,Pakistan,True,False,"She came to the United States when she was five years old and lived there for two months before moving back home with her parents, who were from India (Pakistan). Her father worked as an engineer at General Electric C...",accidental_mention,gold appears later as a word-boundary mention
additive,42,h1_additive_fwd_seed42.json,34,mh_clean_000034,Africa,True,False,"The United States, Canada and Mexico are all part of this region called ""Africa"". This area includes countries such as Nigeria (Nigeria), Cameroon, Chad, Sudan, Ethiopia, Kenya, Tanzania, Uganda, Rwanda, Burundi, Mala...",accidental_mention,gold appears later as a word-boundary mention
additive,456,h1_additive_fwd_seed456.json,0,mh_clean_000000,Asia,True,False,"The United States, Canada and Australia are all part of this region called ""Asia"". This includes China (which has a population over 1 billion), India, Indonesia, Malaysia, Myanmar, Pakistan, Thailand, Vietnam, Singapo...",accidental_mention,gold appears later as a word-boundary mention
additive,456,h1_additive_fwd_seed456.json,15,mh_clean_000015,Africa,False,False,"The African Continent, the Middle East and North America are her birthplaces. She has lived all over Europe since childhood but she spent most of her life living on a small island off the coasts of Morocco (now Algeri...",substring_noise,legacy hit is not a word-boundary match
additive,456,h1_additive_fwd_seed456.json,26,mh_clean_000026,Japan,False,False,"I don't know, but it's not a big deal for me because we're all from different countries and have similar backgrounds (I'm Japanese). We've been living in America since 2001 so that was kind of an easy transition...",substring_noise,legacy hit is not a word-boundary match
additive,456,h1_additive_fwd_seed456.json,31,mh_clean_000031,Pakistan,True,False,"She came to the United States when she was five years old and lived there for two months before moving back home with her parents, who were from India (Pakistan). Her father worked as an engineer at General Electric C...",accidental_mention,gold appears later as a word-boundary mention
additive,456,h1_additive_fwd_seed456.json,34,mh_clean_000034,Africa,True,False,"The United States, Canada and Australia are all part of this region called ""Africa"". This area includes countries such as Nigeria (Nigeria), Cameroon, Chad, Sudan, Ethiopia, Kenya, Tanzania, Uganda, Rwanda, Burundi, M...",accidental_mention,gold appears later as a word-boundary mention
